name,meanScore
Richard Barthelmess,18.9102564103
Emil Jannings,2.91025641026
Louise Dresser,15.1923076923
Janet Gaynor,5.98717948718
Gloria Swanson,33.2179487179
George Bancroft,38.8653846154
Warner Baxter,7.12179487179
Chester Morris,39.1987179487
Paul Muni,5.71794871795
Lewis Stone,56.4230769231
Ruth Chatterton,6.07051282051
Betty Compson,2.76923076923
Jeanne Eagels,2.71153846154
Corinne Griffith,11.5961538462
Bessie Love,8.91666666667
Mary Pickford,5.71794871795
George Arliss,13.2243589744
Wallace Beery,10.3974358974
Maurice Chevalier,35.2051282051
Ronald Colman,18.7435897436
Lawrence Tibbett,25.0576923077
Nancy Carroll,20.7756410256
Greta Garbo,58.4615384615
Norma Shearer,19.0384615385
Lionel Barrymore,11.4230769231
Jackie Cooper,53.3333333333
Richard Dix,12.1858974359
Fredric March,20.0576923077
Adolphe Menjou,10.25
Marlene Dietrich,39.8076923077
Marie Dressler,7.16666666667
Irene Dunne,27.6282051282
Ann Harding,5.19230769231
Alfred Lunt,13.75
Lynn Fontanne,13.2435897436
Helen Hayes,40.8653846154
Leslie Howard,29.391025641
Charles Laughton,21.6346153846
Katharine Hepburn,28.9423076923
May Robson,20.2179487179
Diana Wynyard,5.23717948718
Clark Gable,39.9166666667
Frank Morgan,12.0320512821
William Powell,18.7243589744
Claudette Colbert,18.8205128205
Bette Davis,12.8782051282
Grace Moore,40.8717948718
Victor McLaglen,24.1474358974
Franchot Tone,6.79487179487
Elisabeth Bergner,10.4679487179
Miriam Hopkins,9.04487179487
Merle Oberon,17.8012820513
Gary Cooper,18.6153846154
Walter Huston,18.2756410256
Spencer Tracy,23.5512820513
Mischa Auer,12.5512820513
Walter Brennan,29.5897435897
Stuart Erwin,21.2371794872
Basil Rathbone,36.3653846154
Akim Tamiroff,21.9038461538
Gladys George,4.67948717949
Carole Lombard,14.6538461538
Luise Rainer,1.3141025641
Beulah Bondi,9.80769230769
Alice Brady,2.41025641026
Bonita Granville,15.25
